first_name,last_name,price,above_100
William,Garcia,258.1809089,1
Barbara,Freeman,141.890534,1
Rebecca,Zimmerman,293.373272,1
Patricia,Velasquez,249.9479246,1
Ronnie,Clark,272.908659,1
Timothy,Rose,65.74326968,0
Joshua,Ramirez,64.54997394,0
Joseph,Dawson,111.0171384,1
Robert,Rios,87.31797988,0
Karen,Mitchell,277.2511543,1
Patrick,Greene,7.259436115,0
Matthew,Nelson,295.3146887,1
Melissa,Smith,70.04282129,0
Amy,Johnson,78.26892103,0
Edgar,Ellis,208.6777041,1
Olivia,Rivera,104.8094951,1
Kelly,Leblanc MD,40.20849552,0
Jennifer,Anderson,17.90633335,0
Tammy,Clark,125.0672217,1
Jennifer,Marquez,21.63604687,0
Cory,Silva,36.24541189,0
Mackenzie,Moon,264.9268902,1
Larry,Wade,126.3049676,1
Diana,Shaffer,37.50406255,0
Stephen,Smith,168.1895294,1
Kendra,White,265.1085587,1
Lindsey,Williamson,280.3953974,1
Wanda,Hale,106.0997985,1
Jillian,Davies DDS,10.64366962,0
Douglas,Thomas,119.0382607,1
Jennifer,Davis,153.0526538,1
George,Holmes,44.38614111,0
Marissa,Webster,105.4378241,1
Anna,Boyle,80.47552199,0
Paul,Gillespie,174.6815735,1
Autumn,Johnston,132.780344,1
Tracey,Norton DDS,118.0225331,1
Amy,Flynn,128.6739798,1
Melissa,Davis,72.58977535,0
Vincent,Mitchell,78.43990466,0
Gregory,Martin,144.6915752,1
Robert,Coffey Jr.,117.3205633,1
Melissa,Montgomery,101.4845534,1
Krystal,Cunningham,296.536062,1
Scott,Lee,163.4878508,1
James,Murray,28.59025756,0
Hunter,Stokes,3.582742282,0
Jasmine,Austin,33.90382995,0
Grant,Summers,51.78034157,0
Sarah,Spencer DDS,271.6023676,1
Brianna,Lewis,192.617676,1
Rhonda,Martin DVM,145.6455553,1
Dennis,Lawrence Jr.,161.3584294,1
Michael,Stewart,245.4400987,1
William,Wilkins,22.90555849,0
